number,code,country_code,team,player_name,section,sticker_type,is_special,source_name,source_url,verified_at
1,00,PAN,Panini,Panini Logo - We Are Panini,Panini,panini_logo,true,Scanini Panini World Cup 2026 checklist,https://scanini.app/stickers/panini-logo,
2,FWC 1,FWC,World Cup History,Official Emblem,World Cup History,official_emblem,true,Scanini Panini World Cup 2026 checklist,https://scanini.app/stickers/world-cup-history-1-official-emblem,
3,FWC 2,FWC,World Cup History,Official Emblem,World Cup History,official_emblem,true,Scanini Panini World Cup 2026 checklist,https://scanini.app/stickers/world-cup-history-2-official-emblem,
4,FWC 3,FWC,World Cup History,Official Mascots,World Cup History,mascot,true,Scanini Panini World Cup 2026 checklist,https://scanini.app/stickers/world-cup-history-3-official-mascots,
5,FWC 4,FWC,World Cup History,Official Slogan,World Cup History,official_slogan,true,Scanini Panini World Cup 2026 checklist,https://scanini.app/stickers/world-cup-history-4-official-slogan,
6,FWC 5,FWC,World Cup History,Official Ball,World Cup History,official_ball,true,Scanini Panini World Cup 2026 checklist,https://scanini.app/stickers/world-cup-history-5-official-ball,
7,FWC 6,FWC,World Cup History,Canada - Host Countries & Cities,World Cup History,host_city,true,Scanini Panini World Cup 2026 checklist,https://scanini.app/stickers/world-cup-history-6-canada-host-countries-cities,
8,FWC 7,FWC,World Cup History,Mexico - Host Countries & Cities,World Cup History,host_city,true,Scanini Panini World Cup 2026 checklist,https://scanini.app/stickers/world-cup-history-7-mexico-host-countries-cities,
9,FWC 8,FWC,World Cup History,USA - Host Countries & Cities,World Cup History,host_city,true,Scanini Panini World Cup 2026 checklist,https://scanini.app/stickers/world-cup-history-8-usa-host-countries-cities,
10,FWC 9,FWC,World Cup History,Italy 1934 - World Cup History,World Cup History,history,true,Scanini Panini World Cup 2026 checklist,https://scanini.app/stickers/world-cup-history-9-italy-1934-world-cup-history,
11,FWC 10,FWC,World Cup History,Uruguay 1950 - World Cup History,World Cup History,history,true,Scanini Panini World Cup 2026 checklist,https://scanini.app/stickers/world-cup-history-10-uruguay-1950-world-cup-history,
12,FWC 11,FWC,World Cup History,West Germany 1954 - World Cup History,World Cup History,history,true,Scanini Panini World Cup 2026 checklist,https://scanini.app/stickers/world-cup-history-11-west-germany-1954-world-cup-history,
13,FWC 12,FWC,World Cup History,Brazil 1962 - World Cup History,World Cup History,history,true,Scanini Panini World Cup 2026 checklist,https://scanini.app/stickers/world-cup-history-12-brazil-1962-world-cup-history,
14,FWC 13,FWC,World Cup History,West Germany 1974 - World Cup History,World Cup History,history,true,Scanini Panini World Cup 2026 checklist,https://scanini.app/stickers/world-cup-history-13-west-germany-1974-world-cup-history,
15,FWC 14,FWC,World Cup History,Argentina 1986 - World Cup History,World Cup History,history,true,Scanini Panini World Cup 2026 checklist,https://scanini.app/stickers/world-cup-history-14-argentina-1986-world-cup-history,
16,FWC 15,FWC,World Cup History,Brazil 1994 - World Cup History,World Cup History,history,true,Scanini Panini World Cup 2026 checklist,https://scanini.app/stickers/world-cup-history-15-brazil-1994-world-cup-history,
17,FWC 16,FWC,World Cup History,Brazil 2002 - World Cup History,World Cup History,history,true,Scanini Panini World Cup 2026 checklist,https://scanini.app/stickers/world-cup-history-16-brazil-2002-world-cup-history,
18,FWC 17,FWC,World Cup History,Italy 2006 - World Cup History,World Cup History,history,true,Scanini Panini World Cup 2026 checklist,https://scanini.app/stickers/world-cup-history-17-italy-2006-world-cup-history,
19,FWC 18,FWC,World Cup History,Germany 2014 - World Cup History,World Cup History,history,true,Scanini Panini World Cup 2026 checklist,https://scanini.app/stickers/world-cup-history-18-germany-2014-world-cup-history,
20,FWC 19,FWC,World Cup History,Argentina 2022 - World Cup History,World Cup History,history,true,Scanini Panini World Cup 2026 checklist,https://scanini.app/stickers/world-cup-history-19-argentina-2022-world-cup-history,
21,ALG 1,ALG,Algeria,Team Logo,Algeria,team_logo,true,Scanini Panini World Cup 2026 checklist,https://scanini.app/stickers/algeria-1-team-logo,
22,ALG 2,ALG,Algeria,Alexis Guendouz,Algeria,player,false,Scanini Panini World Cup 2026 checklist,https://scanini.app/stickers/algeria-2-alexis-guendouz,
23,ALG 3,ALG,Algeria,Ramy Bensebaini,Algeria,player,false,Scanini Panini World Cup 2026 checklist,https://scanini.app/stickers/algeria-3-ramy-bensebaini,
24,ALG 4,ALG,Algeria,Youcef Atal,Algeria,player,false,Scanini Panini World Cup 2026 checklist,https://scanini.app/stickers/algeria-4-youcef-atal,
25,ALG 5,ALG,Algeria,Rayan Aït-Nouri,Algeria,player,false,Scanini Panini World Cup 2026 checklist,https://scanini.app/stickers/algeria-5-rayan-ait-nouri,
26,ALG 6,ALG,Algeria,Mohamed Amine Tougai,Algeria,player,false,Scanini Panini World Cup 2026 checklist,https://scanini.app/stickers/algeria-6-mohamed-amine-tougai,
27,ALG 7,ALG,Algeria,Aïssa Mandi,Algeria,player,false,Scanini Panini World Cup 2026 checklist,https://scanini.app/stickers/algeria-7-aissa-mandi,
28,ALG 8,ALG,Algeria,Ismael Bennacer,Algeria,player,false,Scanini Panini World Cup 2026 checklist,https://scanini.app/stickers/algeria-8-ismael-bennacer,
29,ALG 9,ALG,Algeria,Houssem Aquar,Algeria,player,false,Scanini Panini World Cup 2026 checklist,https://scanini.app/stickers/algeria-9-houssem-aquar,
